created_at,geo,source,id,entities,lang,possibly_sensitive,author_id,text
2020-10-23T04:49:47.000Z,"{'place_id': '173c2bb9d42baaa5', 'coordinates': {'type': 'Point', 'coordinates': [79.84211662, 6.93283526]}}",Instagram,1319501247490215936,"{'hashtags': [{'start': 45, 'end': 53, 'tag': 'october'}, {'start': 54, 'end': 63, 'tag': 'weddings'}, {'start': 64, 'end': 74, 'tag': 'greetings'}, {'start': 75, 'end': 85, 'tag': 'twohearts'}, {'start': 86, 'end': 95, 'tag': 'together'}, {'start': 96, 'end': 101, 'tag': 'love'}, {'start': 102, 'end': 114, 'tag': 'celebration'}, {'start': 115, 'end': 133, 'tag': 'thekingsburyhotel'}, {'start': 134, 'end': 142, 'tag': 'colombo'}, {'start': 143, 'end': 152, 'tag': 'srilanka'}, {'start': 153, 'end': 157, 'tag': 'lka'}, {'start': 158, 'end': 161, 'tag': 'lk'}], 'urls': [{'start': 184, 'end': 207, 'url': 'https://t.co/jgDCOMSSrO', 'expanded_url': 'https://www.instagram.com/p/CGrFjReDpPQ/?igshid=7quibf1fcumc', 'display_url': 'instagram.com/p/CGrFjReDpPQ/…', 'status': 200, 'title': 'Login • Instagram', 'description': 'Welcome back to Instagram. Sign in to check out what your friends, family & interests have been capturing & sharing around the world.', 'unwound_url': 'https://www.instagram.com/accounts/login/'}]}",en,False,86983344,"Wedding Time 😍✌️ 📸 @c_h_a_m_i_l_a_sandarage 
#october #weddings #greetings #twohearts #together #love #celebration #thekingsburyhotel #colombo #srilanka #lka #lk @ The Kingsbury Hotel https://t.co/jgDCOMSSrO"
2020-10-21T10:12:55.000Z,,Twitter Web App,1318857792183218179,"{'hashtags': [{'start': 90, 'end': 103, 'tag': 'thekingsbury'}, {'start': 104, 'end': 122, 'tag': 'thekingsburyhotel'}, {'start': 123, 'end': 129, 'tag': 'hotel'}, {'start': 130, 'end': 138, 'tag': 'colombo'}, {'start': 139, 'end': 146, 'tag': 'review'}, {'start': 147, 'end': 159, 'tag': 'hotelreview'}, {'start': 160, 'end': 169, 'tag': 'srilanka'}, {'start': 170, 'end': 173, 'tag': 'sl'}, {'start': 174, 'end': 177, 'tag': 'lk'}, {'start': 178, 'end': 183, 'tag': 'asia'}, {'start': 184, 'end': 194, 'tag': 'southasia'}, {'start': 195, 'end': 202, 'tag': 'travel'}, {'start': 203, 'end': 214, 'tag': 'traveltips'}, {'start': 215, 'end': 233, 'tag': 'travelinspiration'}, {'start': 234, 'end': 246, 'tag': 'travelguide'}, {'start': 247, 'end': 254, 'tag': 'budget'}, {'start': 255, 'end': 267, 'tag': 'budgetravel'}, {'start': 268, 'end': 279, 'tag': 'budgettips'}], 'annotations': [{'start': 4, 'end': 26, 'probability': 0.3273, 'type': 'Organization', 'normalized_text': 'Kingsbury Hotel Colombo'}], 'mentions': [{'start': 65, 'end': 73, 'username': 'Bevsham'}, {'start': 74, 'end': 89, 'username': 'thekingsburylk'}], 'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/SUPVr6SzxM', 'expanded_url': 'https://bevandshams.com/the-kingsbury-hotel-colombo-sri-lanka/', 'display_url': 'bevandshams.com/the-kingsbury-…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1318857796197240832/Z8t-xq5g?format=jpg&name=orig', 'width': 2331, 'height': 3264}, {'url': 'https://pbs.twimg.com/news_img/1318857796197240832/Z8t-xq5g?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'The Kingsbury Hotel Colombo - Review - Bev & Shams Adventures', 'description': 'On every visit to Sri Lanka, we always try to stay in at least one luxury hotel in Colombo. This is our review on The Kingsbury Hotel in Colombo.', 'unwound_url': 'http://bevandshams.com/the-kingsbury-hotel-colombo-sri-lanka/'}]}",en,False,41328034,The Kingsbury Hotel Colombo - Review https://t.co/SUPVr6SzxM via @bevsham @thekingsburylk #thekingsbury #thekingsburyhotel #hotel #colombo #review #hotelreview #srilanka #sl #lk #asia #southasia #travel #traveltips #travelinspiration #travelguide #budget #budgetravel #budgettips
